subject,labels(n),r,r-type,object
"{""uri"":bnode://node1f07tfve2x1296}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""skos__prefLabel"":Unclosed Pizza,""n4sch__comment"":An unclosed Pizza cannot be inferred to be either a VegetarianPizza or a NonVegetarianPizza, because it might have other toppings.,""rdfs__comment"":An unclosed Pizza cannot be inferred to be either a VegetarianPizza or a NonVegetarianPizza, because it might have other toppings.,""n4sch__label"":UnclosedPizza,""n4sch__name"":UnclosedPizza,""rdfs__label"":UnclosedPizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#UnclosedPizza}"
"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""skos__prefLabel"":Unclosed Pizza,""n4sch__comment"":An unclosed Pizza cannot be inferred to be either a VegetarianPizza or a NonVegetarianPizza, because it might have other toppings.,""rdfs__comment"":An unclosed Pizza cannot be inferred to be either a VegetarianPizza or a NonVegetarianPizza, because it might have other toppings.,""n4sch__label"":UnclosedPizza,""n4sch__name"":UnclosedPizza,""rdfs__label"":UnclosedPizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#UnclosedPizza}"
"{""uri"":bnode://node1f07tfve2x1305}","[Resource,owl__Class]",{},owl__equivalentClass,"{""skos__prefLabel"":Vegetarian Pizza1,""n4sch__comment"":Any pizza that only has vegetarian toppings or no toppings is a VegetarianPizzaEquiv1. Should be inferred to be equivalent to VegetarianPizzaEquiv2.  Not equivalent to VegetarianPizza because PizzaTopping is not covering,""rdfs__comment"":Any pizza that only has vegetarian toppings or no toppings is a VegetarianPizzaEquiv1. Should be inferred to be equivalent to VegetarianPizzaEquiv2.  Not equivalent to VegetarianPizza because PizzaTopping is not covering,""n4sch__label"":VegetarianPizza1,""n4sch__name"":VegetarianPizzaEquivalent1,""rdfs__label"":VegetarianPizza1,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetarianPizzaEquivalent1}"
"{""uri"":bnode://node1f07tfve2x1309}","[Resource,owl__Class]",{},owl__equivalentClass,"{""skos__prefLabel"":Vegetarian Pizza2,""n4sch__comment"":An alternative to VegetarianPizzaEquiv1 that does not require a definition of VegetarianTopping. Perhaps more difficult to maintain. Not equivalent to VegetarianPizza,""rdfs__comment"":An alternative to VegetarianPizzaEquiv1 that does not require a definition of VegetarianTopping. Perhaps more difficult to maintain. Not equivalent to VegetarianPizza,""n4sch__label"":VegetarianPizza2,""n4sch__name"":VegetarianPizzaEquivalent2,""rdfs__label"":VegetarianPizza2,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetarianPizzaEquivalent2}"
"{""n4sch__name"":VegetableTopping,""skos__prefLabel"":Vegetable Topping,""rdfs__label"":VegetableTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,""n4sch__label"":VegetableTopping}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":PetitPoisTopping,""skos__prefLabel"":Petit Pois,""rdfs__label"":PetitPoisTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#PetitPoisTopping,""n4sch__label"":PetitPoisTopping}"
"{""uri"":bnode://node1f07tfve2x1089}",[Resource],{},rdf__first,"{""n4sch__name"":PetitPoisTopping,""skos__prefLabel"":Petit Pois,""rdfs__label"":PetitPoisTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#PetitPoisTopping,""n4sch__label"":PetitPoisTopping}"
"{""uri"":bnode://node1f07tfve2x1172}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""n4sch__name"":PetitPoisTopping,""skos__prefLabel"":Petit Pois,""rdfs__label"":PetitPoisTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#PetitPoisTopping,""n4sch__label"":PetitPoisTopping}"
"{""uri"":bnode://node1f07tfve2x1385}",[Resource],{},rdf__first,"{""n4sch__name"":PetitPoisTopping,""skos__prefLabel"":Petit Pois,""rdfs__label"":PetitPoisTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#PetitPoisTopping,""n4sch__label"":PetitPoisTopping}"
"{""uri"":bnode://node1f07tfve2x1079}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":PetitPoisTopping,""skos__prefLabel"":Petit Pois,""rdfs__label"":PetitPoisTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#PetitPoisTopping,""n4sch__label"":PetitPoisTopping}"
"{""n4sch__name"":VegetableTopping,""skos__prefLabel"":Vegetable Topping,""rdfs__label"":VegetableTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,""n4sch__label"":VegetableTopping}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__name"":PetitPoisTopping,""skos__prefLabel"":Petit Pois,""rdfs__label"":PetitPoisTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#PetitPoisTopping,""n4sch__label"":PetitPoisTopping}"
"{""uri"":bnode://node1f07tfve2x1320}","[Resource,owl__Class]",{},owl__equivalentClass,"{""skos__prefLabel"":Vegetarian Topping,""n4sch__comment"":An example of a covering axiom. VegetarianTopping is equivalent to the union of all toppings in the given axiom. VegetarianToppings can only be Cheese or Vegetable or....etc.,""rdfs__comment"":An example of a covering axiom. VegetarianTopping is equivalent to the union of all toppings in the given axiom. VegetarianToppings can only be Cheese or Vegetable or....etc.,""n4sch__label"":VegetarianTopping,""n4sch__name"":VegetarianTopping,""rdfs__label"":VegetarianTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetarianTopping}"
"{""uri"":bnode://node1f07tfve2x1307}","[Resource,owl__Restriction]",{},owl__allValuesFrom,"{""skos__prefLabel"":Vegetarian Topping,""n4sch__comment"":An example of a covering axiom. VegetarianTopping is equivalent to the union of all toppings in the given axiom. VegetarianToppings can only be Cheese or Vegetable or....etc.,""rdfs__comment"":An example of a covering axiom. VegetarianTopping is equivalent to the union of all toppings in the given axiom. VegetarianToppings can only be Cheese or Vegetable or....etc.,""n4sch__label"":VegetarianTopping,""n4sch__name"":VegetarianTopping,""rdfs__label"":VegetarianTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetarianTopping}"
"{""uri"":bnode://node1f07tfve2x1387}",[Resource],{},rdf__first,"{""n4sch__name"":SpinachTopping,""skos__prefLabel"":Spinach,""rdfs__label"":SpinachTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SpinachTopping,""n4sch__label"":SpinachTopping}"
"{""uri"":bnode://node1f07tfve2x1045}",[Resource],{},rdf__first,"{""n4sch__name"":SpinachTopping,""skos__prefLabel"":Spinach,""rdfs__label"":SpinachTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SpinachTopping,""n4sch__label"":SpinachTopping}"
"{""n4sch__name"":VegetableTopping,""skos__prefLabel"":Vegetable Topping,""rdfs__label"":VegetableTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,""n4sch__label"":VegetableTopping}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":SpinachTopping,""skos__prefLabel"":Spinach,""rdfs__label"":SpinachTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SpinachTopping,""n4sch__label"":SpinachTopping}"
"{""uri"":bnode://node1f07tfve2x1286}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""n4sch__name"":SpinachTopping,""skos__prefLabel"":Spinach,""rdfs__label"":SpinachTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SpinachTopping,""n4sch__label"":SpinachTopping}"
"{""uri"":bnode://node1f07tfve2x1037}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":SpinachTopping,""skos__prefLabel"":Spinach,""rdfs__label"":SpinachTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SpinachTopping,""n4sch__label"":SpinachTopping}"
"{""n4sch__name"":VegetableTopping,""skos__prefLabel"":Vegetable Topping,""rdfs__label"":VegetableTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,""n4sch__label"":VegetableTopping}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__name"":SpinachTopping,""skos__prefLabel"":Spinach,""rdfs__label"":SpinachTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SpinachTopping,""n4sch__label"":SpinachTopping}"
"{""uri"":bnode://node1f07tfve2x1067}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""skos__prefLabel"":Frutti Di Mare,""n4sch__label"":FruttiDiMare,""skos__altLabel"":Frutti Di Mare Pizza,""n4sch__name"":FruttiDiMare,""rdfs__label"":FruttiDiMare,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare}"
"{""uri"":bnode://node1f07tfve2x1068}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""skos__prefLabel"":Frutti Di Mare,""n4sch__label"":FruttiDiMare,""skos__altLabel"":Frutti Di Mare Pizza,""n4sch__name"":FruttiDiMare,""rdfs__label"":FruttiDiMare,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare}"
"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""skos__prefLabel"":Frutti Di Mare,""n4sch__label"":FruttiDiMare,""skos__altLabel"":Frutti Di Mare Pizza,""n4sch__name"":FruttiDiMare,""rdfs__label"":FruttiDiMare,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare}"
"{""uri"":bnode://node1f07tfve2x1065}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""skos__prefLabel"":Frutti Di Mare,""n4sch__label"":FruttiDiMare,""skos__altLabel"":Frutti Di Mare Pizza,""n4sch__name"":FruttiDiMare,""rdfs__label"":FruttiDiMare,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare}"
"{""uri"":bnode://node1f07tfve2x1066}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""skos__prefLabel"":Frutti Di Mare,""n4sch__label"":FruttiDiMare,""skos__altLabel"":Frutti Di Mare Pizza,""n4sch__name"":FruttiDiMare,""rdfs__label"":FruttiDiMare,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare}"
"{""uri"":bnode://node1f07tfve2x1355}",[Resource],{},rdf__first,"{""skos__prefLabel"":Frutti Di Mare,""n4sch__label"":FruttiDiMare,""skos__altLabel"":Frutti Di Mare Pizza,""n4sch__name"":FruttiDiMare,""rdfs__label"":FruttiDiMare,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare}"
"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""skos__prefLabel"":Frutti Di Mare,""n4sch__label"":FruttiDiMare,""skos__altLabel"":Frutti Di Mare Pizza,""n4sch__name"":FruttiDiMare,""rdfs__label"":FruttiDiMare,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare}"
"{""n4sch__name"":hasIngredient,""n4sch__comment"":NB Transitive - the ingredients of ingredients are ingredients of the whole,""rdfs__comment"":NB Transitive - the ingredients of ingredients are ingredients of the whole,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasIngredient}","[Resource,owl__ObjectProperty,owl__TransitiveProperty,n4sch__Relationship]",{},owl__inverseOf,"{""n4sch__name"":isIngredientOf,""n4sch__comment"":The inverse property tree to hasIngredient - all subproperties and attributes of the properties should reflect those under hasIngredient.,""rdfs__comment"":The inverse property tree to hasIngredient - all subproperties and attributes of the properties should reflect those under hasIngredient.,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#isIngredientOf}"
"{""n4sch__name"":isToppingOf,""n4sch__comment"":Any given instance of topping should only be added to a single pizza (no cheap half-measures on our pizzas),""rdfs__comment"":Any given instance of topping should only be added to a single pizza (no cheap half-measures on our pizzas),""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#isToppingOf}","[Resource,owl__FunctionalProperty,owl__ObjectProperty,n4sch__Relationship]",{},rdfs__subPropertyOf,"{""n4sch__name"":isIngredientOf,""n4sch__comment"":The inverse property tree to hasIngredient - all subproperties and attributes of the properties should reflect those under hasIngredient.,""rdfs__comment"":The inverse property tree to hasIngredient - all subproperties and attributes of the properties should reflect those under hasIngredient.,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#isIngredientOf}"
"{""n4sch__name"":isBaseOf,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#isBaseOf}","[Resource,owl__FunctionalProperty,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},rdfs__subPropertyOf,"{""n4sch__name"":isIngredientOf,""n4sch__comment"":The inverse property tree to hasIngredient - all subproperties and attributes of the properties should reflect those under hasIngredient.,""rdfs__comment"":The inverse property tree to hasIngredient - all subproperties and attributes of the properties should reflect those under hasIngredient.,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#isIngredientOf}"
"{""n4sch__name"":isToppingOf,""n4sch__comment"":Any given instance of topping should only be added to a single pizza (no cheap half-measures on our pizzas),""rdfs__comment"":Any given instance of topping should only be added to a single pizza (no cheap half-measures on our pizzas),""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#isToppingOf}","[Resource,owl__FunctionalProperty,owl__ObjectProperty,n4sch__Relationship]",{},n4sch__SPO,"{""n4sch__name"":isIngredientOf,""n4sch__comment"":The inverse property tree to hasIngredient - all subproperties and attributes of the properties should reflect those under hasIngredient.,""rdfs__comment"":The inverse property tree to hasIngredient - all subproperties and attributes of the properties should reflect those under hasIngredient.,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#isIngredientOf}"
"{""n4sch__name"":isBaseOf,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#isBaseOf}","[Resource,owl__FunctionalProperty,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},n4sch__SPO,"{""n4sch__name"":isIngredientOf,""n4sch__comment"":The inverse property tree to hasIngredient - all subproperties and attributes of the properties should reflect those under hasIngredient.,""rdfs__comment"":The inverse property tree to hasIngredient - all subproperties and attributes of the properties should reflect those under hasIngredient.,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#isIngredientOf}"
"{""uri"":bnode://node1f07tfve2x1184}",[Resource],{},rdf__first,"{""n4sch__name"":ChickenTopping,""skos__prefLabel"":Chicken,""rdfs__label"":CoberturaDeFrango,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#ChickenTopping,""n4sch__label"":CoberturaDeFrango}"
"{""uri"":bnode://node1f07tfve2x1023}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""n4sch__name"":ChickenTopping,""skos__prefLabel"":Chicken,""rdfs__label"":CoberturaDeFrango,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#ChickenTopping,""n4sch__label"":CoberturaDeFrango}"
"{""uri"":bnode://node1f07tfve2x1399}",[Resource],{},rdf__first,"{""n4sch__name"":ChickenTopping,""skos__prefLabel"":Chicken,""rdfs__label"":CoberturaDeFrango,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#ChickenTopping,""n4sch__label"":CoberturaDeFrango}"
"{""uri"":bnode://node1f07tfve2x1175}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":ChickenTopping,""skos__prefLabel"":Chicken,""rdfs__label"":CoberturaDeFrango,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#ChickenTopping,""n4sch__label"":CoberturaDeFrango}"
"{""n4sch__name"":MeatTopping,""skos__prefLabel"":Meat,""rdfs__label"":MeatTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#MeatTopping,""n4sch__label"":MeatTopping}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":ChickenTopping,""skos__prefLabel"":Chicken,""rdfs__label"":CoberturaDeFrango,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#ChickenTopping,""n4sch__label"":CoberturaDeFrango}"
"{""n4sch__name"":MeatTopping,""skos__prefLabel"":Meat,""rdfs__label"":MeatTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#MeatTopping,""n4sch__label"":MeatTopping}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__name"":ChickenTopping,""skos__prefLabel"":Chicken,""rdfs__label"":CoberturaDeFrango,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#ChickenTopping,""n4sch__label"":CoberturaDeFrango}"
"{""uri"":bnode://node1f07tfve2x1335}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":SultanaTopping,""skos__prefLabel"":Sultana,""rdfs__label"":SultanaTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SultanaTopping,""n4sch__label"":SultanaTopping}"
"{""n4sch__name"":FruitTopping,""skos__prefLabel"":Fruit,""rdfs__label"":FruitTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#FruitTopping,""n4sch__label"":FruitTopping}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":SultanaTopping,""skos__prefLabel"":Sultana,""rdfs__label"":SultanaTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SultanaTopping,""n4sch__label"":SultanaTopping}"
"{""uri"":bnode://node1f07tfve2x1287}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""n4sch__name"":SultanaTopping,""skos__prefLabel"":Sultana,""rdfs__label"":SultanaTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SultanaTopping,""n4sch__label"":SultanaTopping}"
"{""uri"":bnode://node1f07tfve2x1344}",[Resource],{},rdf__first,"{""n4sch__name"":SultanaTopping,""skos__prefLabel"":Sultana,""rdfs__label"":SultanaTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SultanaTopping,""n4sch__label"":SultanaTopping}"
"{""n4sch__name"":FruitTopping,""skos__prefLabel"":Fruit,""rdfs__label"":FruitTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#FruitTopping,""n4sch__label"":FruitTopping}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__name"":SultanaTopping,""skos__prefLabel"":Sultana,""rdfs__label"":SultanaTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SultanaTopping,""n4sch__label"":SultanaTopping}"
"{""uri"":bnode://node1f07tfve2x1411}",[Resource],{},rdf__first,"{""n4sch__name"":JalapenoPepperTopping,""skos__prefLabel"":Jalapeno Pepper,""rdfs__label"":JalapenoPepperTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#JalapenoPepperTopping,""n4sch__label"":JalapenoPepperTopping}"
"{""uri"":bnode://node1f07tfve2x1101}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""n4sch__name"":JalapenoPepperTopping,""skos__prefLabel"":Jalapeno Pepper,""rdfs__label"":JalapenoPepperTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#JalapenoPepperTopping,""n4sch__label"":JalapenoPepperTopping}"
"{""n4sch__name"":PepperTopping,""skos__prefLabel"":Pepper,""rdfs__label"":PepperTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#PepperTopping,""n4sch__label"":PepperTopping}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":JalapenoPepperTopping,""skos__prefLabel"":Jalapeno Pepper,""rdfs__label"":JalapenoPepperTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#JalapenoPepperTopping,""n4sch__label"":JalapenoPepperTopping}"
"{""uri"":bnode://node1f07tfve2x963}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":JalapenoPepperTopping,""skos__prefLabel"":Jalapeno Pepper,""rdfs__label"":JalapenoPepperTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#JalapenoPepperTopping,""n4sch__label"":JalapenoPepperTopping}"
"{""uri"":bnode://node1f07tfve2x970}",[Resource],{},rdf__first,"{""n4sch__name"":JalapenoPepperTopping,""skos__prefLabel"":Jalapeno Pepper,""rdfs__label"":JalapenoPepperTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#JalapenoPepperTopping,""n4sch__label"":JalapenoPepperTopping}"
"{""n4sch__name"":PepperTopping,""skos__prefLabel"":Pepper,""rdfs__label"":PepperTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#PepperTopping,""n4sch__label"":PepperTopping}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__name"":JalapenoPepperTopping,""skos__prefLabel"":Jalapeno Pepper,""rdfs__label"":JalapenoPepperTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#JalapenoPepperTopping,""n4sch__label"":JalapenoPepperTopping}"
"{""n4sch__name"":HerbSpiceTopping,""skos__prefLabel"":Herb Spice,""rdfs__label"":HerbSpiceTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#HerbSpiceTopping,""n4sch__label"":HerbSpiceTopping}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":RosemaryTopping,""skos__prefLabel"":Rosemary,""rdfs__label"":RosemaryTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#RosemaryTopping,""n4sch__label"":RosemaryTopping}"
"{""uri"":bnode://node1f07tfve2x1193}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":RosemaryTopping,""skos__prefLabel"":Rosemary,""rdfs__label"":RosemaryTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#RosemaryTopping,""n4sch__label"":RosemaryTopping}"
"{""uri"":bnode://node1f07tfve2x1222}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""n4sch__name"":RosemaryTopping,""skos__prefLabel"":Rosemary,""rdfs__label"":RosemaryTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#RosemaryTopping,""n4sch__label"":RosemaryTopping}"
"{""uri"":bnode://node1f07tfve2x1200}",[Resource],{},rdf__first,"{""n4sch__name"":RosemaryTopping,""skos__prefLabel"":Rosemary,""rdfs__label"":RosemaryTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#RosemaryTopping,""n4sch__label"":RosemaryTopping}"
"{""n4sch__name"":CajunSpiceTopping,""skos__prefLabel"":Cajun Spice,""rdfs__label"":CoberturaDeCajun,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#CajunSpiceTopping,""n4sch__label"":CoberturaDeCajun}","[Resource,owl__Class,n4sch__Class]",{},owl__disjointWith,"{""n4sch__name"":RosemaryTopping,""skos__prefLabel"":Rosemary,""rdfs__label"":RosemaryTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#RosemaryTopping,""n4sch__label"":RosemaryTopping}"
"{""n4sch__name"":HerbSpiceTopping,""skos__prefLabel"":Herb Spice,""rdfs__label"":HerbSpiceTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#HerbSpiceTopping,""n4sch__label"":HerbSpiceTopping}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__name"":RosemaryTopping,""skos__prefLabel"":Rosemary,""rdfs__label"":RosemaryTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#RosemaryTopping,""n4sch__label"":RosemaryTopping}"
"{""uri"":bnode://node1f07tfve2x1096}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""skos__prefLabel"":Ice Cream,""n4sch__comment"":A class to demonstrate mistakes made with setting a property domain. The property hasTopping has a domain of Pizza. This means that the reasoner can infer that all individuals using the hasTopping property must be of type Pizza. Because of the restriction on this class, all members of IceCream must use the hasTopping property, and therefore must also be members of Pizza. However, Pizza and IceCream are disjoint, so this causes an inconsistency. If they were not disjoint, IceCream would be inferred to be a subclass of Pizza.,""rdfs__comment"":A class to demonstrate mistakes made with setting a property domain. The property hasTopping has a domain of Pizza. This means that the reasoner can infer that all individuals using the hasTopping property must be of type Pizza. Because of the restriction on this class, all members of IceCream must use the hasTopping property, and therefore must also be members of Pizza. However, Pizza and IceCream are disjoint, so this causes an inconsistency. If they were not disjoint, IceCream would be inferred to be a subclass of Pizza.,""n4sch__label"":Sorvete,""n4sch__name"":IceCream,""rdfs__label"":Sorvete,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#IceCream}"
"{""uri"":bnode://node1f07tfve2x1419}",[Resource],{},rdf__first,"{""skos__prefLabel"":Ice Cream,""n4sch__comment"":A class to demonstrate mistakes made with setting a property domain. The property hasTopping has a domain of Pizza. This means that the reasoner can infer that all individuals using the hasTopping property must be of type Pizza. Because of the restriction on this class, all members of IceCream must use the hasTopping property, and therefore must also be members of Pizza. However, Pizza and IceCream are disjoint, so this causes an inconsistency. If they were not disjoint, IceCream would be inferred to be a subclass of Pizza.,""rdfs__comment"":A class to demonstrate mistakes made with setting a property domain. The property hasTopping has a domain of Pizza. This means that the reasoner can infer that all individuals using the hasTopping property must be of type Pizza. Because of the restriction on this class, all members of IceCream must use the hasTopping property, and therefore must also be members of Pizza. However, Pizza and IceCream are disjoint, so this causes an inconsistency. If they were not disjoint, IceCream would be inferred to be a subclass of Pizza.,""n4sch__label"":Sorvete,""n4sch__name"":IceCream,""rdfs__label"":Sorvete,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#IceCream}"
"{""n4sch__name"":Food,""skos__prefLabel"":Food,""rdfs__label"":Food,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Food,""n4sch__label"":Food}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""skos__prefLabel"":Ice Cream,""n4sch__comment"":A class to demonstrate mistakes made with setting a property domain. The property hasTopping has a domain of Pizza. This means that the reasoner can infer that all individuals using the hasTopping property must be of type Pizza. Because of the restriction on this class, all members of IceCream must use the hasTopping property, and therefore must also be members of Pizza. However, Pizza and IceCream are disjoint, so this causes an inconsistency. If they were not disjoint, IceCream would be inferred to be a subclass of Pizza.,""rdfs__comment"":A class to demonstrate mistakes made with setting a property domain. The property hasTopping has a domain of Pizza. This means that the reasoner can infer that all individuals using the hasTopping property must be of type Pizza. Because of the restriction on this class, all members of IceCream must use the hasTopping property, and therefore must also be members of Pizza. However, Pizza and IceCream are disjoint, so this causes an inconsistency. If they were not disjoint, IceCream would be inferred to be a subclass of Pizza.,""n4sch__label"":Sorvete,""n4sch__name"":IceCream,""rdfs__label"":Sorvete,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#IceCream}"
